p1,p2
-88.09988903,0
49.72240688,0
326.4521404,0
-8.367650212,0
75.81892589,0
256.6611724,0
-87.09618113,0
30.71890426,0
160.676694,0
0,-36.48601207
0,24.92847414
0,247.7579464
0,0
0,0
0,0
0,0
0,0
0,0
39.80557109,42.11215637
3.814074834,4.645078426
70.3562364,238.951878
77.90524292,81.21362068
5.82634203,12.05975089
100.7223908,359.7872499
-85.46620885,-86.06193834
-38.101448,-25.39077797
289.0276803,306.1012904
0,-35.12706051
0,-26.89151932
0,253.460056
-77.82854179,0
-68.42869281,0
139.1509971,0
0,0
0,0
0,0
0,0
0,0
0,0
0,58.49573328
0,-38.40128421
0,307.183984
15.47955954,0
-80.49848725,0
204.3945855,0
0,0
0,0
0,0
0,0
0,0
0,0
-111.1155069,0
147.2883232,0
307.4166554,0
-150.8626584,-149.5066416
117.7490561,128.345575
366.588325,248.1773559
-113.7723488,0
134.6609757,0
250.1999201,0
0,108.0616548
0,167.2985579
0,339.416435
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-167.8377965
0,-111.8014095
0,268.2331076
-90.7848246,0
-120.2849283,0
144.7584194,0
0,0
0,0
0,0
0,-110.9306804
0,-143.5897756
0,362.9528446
117.8425611,0
-121.0437307,0
329.7679254,0
0,172.5546752
0,-105.6681604
0,195.5223772
0,119.9747784
0,-152.0263201
0,306.245
0,161.3126485
0,-160.083594
0,216.7994465
