p1,p2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,21.11350008
0,66.33685929
0,140.1534873
0,83.15722659
0,49.2363948
0,76.81145748
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-135.4034847,-140.5484663
147.5945893,157.3286564
439.7283252,257.2625118
-105.8884566,-113.9100923
157.8892467,161.7345648
425.5407399,463.8879175
0,0
0,0
0,0
-94.49715161,0
109.6683994,0
264.5203206,0
98.94587774,99.37592602
178.245926,173.4542714
232.0034537,624.2928834
0,141.657397
0,174.6948904
0,226.0486673
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-103.851419,-128.3674854
-112.2991402,-100.3818052
193.2278448,134.5288073
0,-141.2000189
0,-156.0707452
0,265.0320735
-91.34155091,-108.3324688
-157.0427568,-160.5536149
337.018293,559.9222884
0,0
0,0
0,0
0,148.0333563
0,-115.7600112
0,232.7273082
108.8506712,113.9769441
-153.3370049,-169.5226724
440.7502724,457.431232
0,0
0,0
0,0
