p1,p2
0,-88.09988903
0,49.72240688
0,326.4521404
-8.367650212,0
75.81892589,0
256.6611724,0
0,-87.09618113
0,30.71890426
0,160.676694
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,39.80557109
0,3.814074834
0,70.3562364
0,77.90524292
0,5.82634203
0,100.7223908
-85.46620885,0
-38.101448,0
289.0276803,0
0,0
0,0
0,0
-77.82854179,0
-68.42869281,0
139.1509971,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
30.63541755,0.323701525
-72.54513221,-88.4518423
227.9605229,180.8286482
0,0
0,0
0,0
0,0
0,0
0,0
-111.1155069,0
147.2883232,0
307.4166554,0
-150.8626584,0
117.7490561,0
366.588325,0
-113.7723488,0
134.6609757,0
250.1999201,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-90.7848246
0,-120.2849283
0,144.7584194
0,0
0,0
0,0
0,0
0,0
0,0
0,117.8425611
0,-121.0437307
0,329.7679254
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
