p1,p2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,21.11350008
0,66.33685929
0,140.1534873
0,83.15722659
0,49.2363948
0,76.81145748
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-140.5484663
0,157.3286564
0,257.2625118
0,-113.9100923
0,161.7345648
0,463.8879175
0,0
0,0
0,0
0,0
0,0
0,0
0,99.37592602
0,173.4542714
0,624.2928834
0,141.657397
0,174.6948904
0,226.0486673
0,0
0,0
0,0
169.6634459,0
134.0289781,0
164.3836975,0
-141.7590811,0
-114.9310664,0
320.1530884,0
-109.6871153,-128.3674854
-127.8460132,-100.3818052
875.1614479,134.5288073
0,-141.2000189
0,-156.0707452
0,265.0320735
-103.8911912,-108.3324688
-139.4748965,-160.5536149
248.9839352,559.9222884
0,0
0,0
0,0
0,148.0333563
0,-115.7600112
0,232.7273082
110.5033894,113.9769441
-149.0016193,-169.5226724
489.0488872,457.431232
148.6958765,0
-166.2637317,0
174.6081327,0
