p1,p2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-135.4034847
0,147.5945893
0,439.7283252
0,-105.8884566
0,157.8892467
0,425.5407399
0,0
0,0
0,0
0,-94.49715161
0,109.6683994
0,264.5203206
0,98.94587774
0,178.245926
0,232.0034537
0,0
0,0
0,0
0,0
0,0
0,0
169.6634459,0
134.0289781,0
164.3836975,0
-141.7590811,0
-114.9310664,0
320.1530884,0
-109.6871153,-103.851419
-127.8460132,-112.2991402
875.1614479,193.2278448
0,0
0,0
0,0
-103.8911912,-91.34155091
-139.4748965,-157.0427568
248.9839352,337.018293
0,0
0,0
0,0
0,0
0,0
0,0
110.5033894,108.8506712
-149.0016193,-153.3370049
489.0488872,440.7502724
148.6958765,0
-166.2637317,0
174.6081327,0
