p1,p2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-36.48601207
0,24.92847414
0,247.7579464
0,0
0,0
0,0
0,0
0,0
0,0
0,42.11215637
0,4.645078426
0,238.951878
59.59917515,81.21362068
6.31698568,12.05975089
315.6295297,359.7872499
0,-86.06193834
0,-25.39077797
0,306.1012904
0,-35.12706051
0,-26.89151932
0,253.460056
-57.53783357,0
-54.5827788,0
272.7766583,0
0,0
0,0
0,0
0,0
0,0
0,0
58.79949409,58.49573328
-21.28389987,-38.40128421
214.237455,307.183984
0,0
0,0
0,0
80.62293931,0
-51.49352531,0
175.9943181,0
0,0
0,0
0,0
-114.436434,0
173.9518183,0
371.9511538,0
0,-149.5066416
0,128.345575
0,248.1773559
0,0
0,0
0,0
107.4149249,108.0616548
159.7556701,167.2985579
365.6649152,339.416435
139.6895444,0
141.7889746,0
407.6505857,0
0,0
0,0
0,0
155.0594245,0
123.2909989,0
431.2064471,0
0,-167.8377965
0,-111.8014095
0,268.2331076
0,0
0,0
0,0
-138.6806222,0
-164.8459319,0
369.261425,0
0,-110.9306804
0,-143.5897756
0,362.9528446
0,0
0,0
0,0
0,172.5546752
0,-105.6681604
0,195.5223772
0,119.9747784
0,-152.0263201
0,306.245
0,161.3126485
0,-160.083594
0,216.7994465
