p1,p2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,59.59917515
0,6.31698568
0,315.6295297
0,0
0,0
0,0
0,0
0,0
0,0
0,-57.53783357
0,-54.5827788
0,272.7766583
0,0
0,0
0,0
0,0
0,0
0,0
0,58.79949409
0,-21.28389987
0,214.237455
0,0
0,0
0,0
0,80.62293931
0,-51.49352531
0,175.9943181
0,0
0,0
0,0
-114.436434,0
173.9518183,0
371.9511538,0
0,0
0,0
0,0
0,0
0,0
0,0
107.4149249,0
159.7556701,0
365.6649152,0
139.6895444,0
141.7889746,0
407.6505857,0
0,0
0,0
0,0
155.0594245,0
123.2909989,0
431.2064471,0
0,0
0,0
0,0
0,0
0,0
0,0
-138.6806222,0
-164.8459319,0
369.261425,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
